id,score,up_vote_count,down_vote_count,answers_count,view_count,is_answered
79681963,1,3,2,2,218,True
79682129,1,1,0,2,153,False
79682182,-1,1,2,2,87,True
79682193,1,1,0,2,95,True
79682355,4,5,1,1,142,True
79682423,0,1,1,1,90,True
79683923,2,2,0,3,77,True
79684282,-1,0,1,2,182,True
79684289,0,0,0,3,98,True
79684302,-1,0,1,2,79,False
79684960,1,1,0,1,76,True
79685280,1,2,1,1,1122,False
79686305,2,2,0,0,121,False
79686536,1,1,0,1,164,False
79686674,-1,1,2,3,164,True
79686817,1,1,0,1,145,True
79687541,0,0,0,1,181,False
79687948,-1,0,1,1,169,True
79688269,-1,0,1,2,91,True
79688851,2,2,0,1,76,True
79688989,1,1,0,1,80,True
79689145,4,4,0,5,200,True
79689559,-1,0,1,1,92,True
79690317,4,4,0,4,354,True
79690387,1,1,0,4,146,True
79690550,0,2,2,2,162,True
79690741,2,2,0,3,148,True
79691469,0,0,0,1,83,True
79693395,1,2,1,1,93,False
79693444,3,3,0,2,99,True
79693980,1,1,0,1,113,True
79694076,-1,2,3,2,105,True
79694353,0,1,1,1,142,True
79695686,1,1,0,2,76,True
79695857,2,2,0,1,60,True
79695863,2,2,0,2,85,True
79696026,1,2,1,2,106,True
79696464,0,1,1,1,88,True
79696924,-2,0,2,3,98,True
79697062,0,1,1,4,112,True
79697129,0,0,0,2,190,False
79697304,2,2,0,2,108,True
79697374,2,3,1,4,111,True
79697557,-1,0,1,1,67,False
79697654,1,1,0,2,107,True
79697920,2,2,0,3,138,True
79697943,-1,1,2,1,78,True
79698143,2,2,0,1,87,True
79698313,2,2,0,2,90,True
79698322,0,1,1,1,94,False
79698797,-1,0,1,1,67,False
79698938,-1,0,1,0,37,False
79698939,1,2,1,1,80,True
79700435,4,4,0,3,128,True
79700457,-1,2,3,1,190,True
79701027,1,1,0,1,77,True
79701246,2,2,0,4,182,True
79701279,0,0,0,1,70,False
79701599,2,2,0,5,240,True
79701721,-3,0,3,1,96,True
79701738,1,1,0,1,126,True
79701919,0,0,0,1,119,True
79702717,2,2,0,2,87,True
79702768,1,1,0,1,91,True
79702867,-1,1,2,3,1036,True
79703443,1,2,1,3,94,True
79703637,0,1,1,1,89,True
79704017,1,2,1,3,123,True
79704660,-1,1,2,1,105,True
79705016,2,2,0,1,71,True
79705297,1,2,1,1,128,True
79705361,1,1,0,0,63,False
79705490,2,2,0,3,129,True
79705869,0,0,0,4,128,True
79707800,2,2,0,1,111,True
79707979,2,3,1,2,99,True
79708133,0,0,0,2,88,True
79708942,1,1,0,1,81,True
79708964,-1,1,2,1,125,True
79709014,0,0,0,0,172,False
79709161,-1,0,1,1,55,True
79709223,0,1,1,1,127,True
79709608,2,3,1,4,168,True
79709826,-3,0,3,1,103,True
79710641,1,1,0,1,126,True
79711547,3,3,0,2,74,True
79711592,4,4,0,2,199,True
79711703,3,3,0,3,124,True
79711835,1,1,0,1,77,True
79711921,3,3,0,3,120,True
79711964,2,2,0,3,189,True
79711988,2,2,0,4,163,True
79712352,0,0,0,2,156,True
79712917,-2,1,3,2,195,False
79713334,4,4,0,1,101,True
79713650,-1,1,2,1,122,True
79713664,6,6,0,2,137,True
79714042,4,5,1,2,234,True
79714236,0,0,0,0,114,False
79714577,-2,0,2,1,102,True
79714624,2,2,0,2,108,True
79716239,-6,1,7,2,119,True
79716450,-3,1,4,2,158,True
79716909,-2,3,5,1,131,True
79717384,-1,2,3,4,163,True
79717830,3,3,0,1,108,True
79718123,-1,1,2,1,74,True
79718362,0,0,0,1,64,True
79719885,0,0,0,2,196,True
79720297,4,4,0,1,178,True
79720598,2,2,0,1,60,False
79720945,2,3,1,2,114,True
79721893,3,5,2,2,183,True
79722066,0,1,1,1,115,False
79722140,2,2,0,1,138,True
79722606,2,2,0,1,217,True
79725304,0,0,0,3,141,True
79725307,0,0,0,1,206,False
79725366,0,0,0,1,52,True
79726254,1,2,1,3,163,True
79726460,5,6,1,4,177,True
79726497,-1,0,1,1,109,True
79726744,0,1,1,3,221,True
79727413,2,2,0,1,86,True
79727552,4,4,0,1,123,True
79727721,3,3,0,1,238,True
79727724,2,4,2,2,114,True
79728772,2,3,1,2,107,True
79729011,0,0,0,3,91,True
79729059,2,3,1,1,116,True
79729079,-1,0,1,1,129,True
79729171,2,2,0,2,254,True
79729280,1,2,1,1,144,False
79729450,4,4,0,1,139,True
79729716,2,3,1,2,153,True
79729807,2,2,0,3,103,True
79730061,-2,1,3,1,108,True
79730239,0,1,1,2,124,True
79730445,1,1,0,1,93,True
79731798,0,0,0,2,131,True
79732187,3,4,1,3,155,True
79732369,5,5,0,3,151,True
79732436,-3,0,3,1,127,True
79732490,0,0,0,0,78,False
79733314,1,1,0,2,148,True
79733654,1,1,0,4,130,True
79733732,3,3,0,1,158,True
79734092,1,2,1,0,139,False
79734105,1,1,0,2,162,True
79734587,1,1,0,1,124,True
79735286,1,1,0,2,154,True
79735462,1,1,0,1,72,True
79736051,3,5,2,2,203,True
79736082,5,5,0,1,140,True
79736356,0,0,0,1,89,False
79736466,3,3,0,1,99,True
79736516,-1,0,1,1,79,False
79736798,0,0,0,4,189,True
79737122,1,2,1,3,124,True
79738076,0,0,0,0,75,False
79738459,2,2,0,3,229,True
79739025,3,4,1,7,303,True
79739186,0,1,1,3,222,False
79739561,0,1,1,1,383,True
79739565,0,3,3,2,154,True
79740248,0,1,1,1,78,True
79740642,0,0,0,1,131,True
79740906,0,1,1,1,97,True
79741044,0,0,0,0,120,False
79741486,0,0,0,1,70,True
79741570,-1,0,1,0,43,False
79741584,-3,0,3,1,88,True
79741939,2,2,0,1,104,True
79742613,-2,0,2,2,125,True
79742747,5,6,1,4,220,True
79742851,1,2,1,2,98,True
79743442,1,1,0,3,78,True
79743563,-1,1,2,1,173,True
79743764,2,2,0,1,121,True
79743827,-3,0,3,1,110,False
79745144,1,1,0,2,111,True
79745180,1,1,0,0,58,False
79745378,1,2,1,2,151,True
79745661,0,1,1,2,203,True
79746177,0,1,1,1,122,True
79747062,3,3,0,2,113,True
79747517,2,2,0,2,139,True
79747841,2,2,0,2,145,True
79748214,1,1,0,1,81,True
79748541,0,0,0,0,121,False
79748742,2,2,0,1,109,True
79749918,-1,2,3,2,193,True
79750201,1,1,0,1,152,True
79750659,1,3,2,3,212,True
79750698,-2,0,2,1,66,True
79750849,2,2,0,2,141,True
79751843,-3,0,3,2,113,True
79752209,-3,0,3,1,95,False
79753336,0,1,1,3,131,True
79753404,4,4,0,5,200,True
79753976,1,1,0,1,127,True
79754036,1,2,1,2,130,True
79754325,3,3,0,2,83,True
79754363,0,0,0,1,155,False
79754689,0,0,0,0,77,False
79754727,3,3,0,1,114,True
79755445,3,3,0,1,120,True
79755969,0,1,1,1,102,False
79756891,1,2,1,1,150,True
79756982,2,4,2,1,49,True
79756998,0,2,2,1,136,True
79757554,2,3,1,2,157,True
79757699,0,0,0,1,86,True
79758087,0,2,2,1,144,True
79758791,-5,1,6,2,99,True
79759241,1,2,1,1,83,True
79759817,-4,0,4,1,122,True
79760111,2,3,1,2,158,True
79760577,1,1,0,4,151,True
79760970,0,1,1,1,93,True
79760997,1,1,0,1,87,True
79761648,3,3,0,1,120,True
79762091,1,1,0,1,102,True
79762521,0,0,0,0,109,False
79762879,5,5,0,2,108,True
79762940,0,0,0,1,127,False
79763147,1,1,0,0,57,False
79763306,3,3,0,1,99,True
79763815,-2,1,3,1,130,True
79764873,5,5,0,1,166,True
79765477,0,0,0,1,51,True
79765624,1,1,0,1,170,True
79765875,0,0,0,1,148,True
79765969,1,2,1,0,90,False
79766399,0,1,1,1,106,True
79766716,0,1,1,3,132,True
79766822,1,2,1,1,157,False
79767126,-5,0,5,1,126,True
79767306,2,2,0,1,143,True
79767989,-3,2,5,2,149,True
79769100,-1,1,2,1,129,True
79769157,4,6,2,0,138,False
79769329,-3,0,3,1,79,True
79769401,1,2,1,1,79,True
79769546,3,3,0,0,102,False
79769552,1,2,1,1,114,False
79769689,3,3,0,1,112,True
79770153,0,0,0,1,146,False
79770347,4,4,0,1,156,True
79771875,0,2,2,2,267,True
79772638,0,0,0,1,135,True
79772829,3,3,0,2,210,True
79773259,0,1,1,2,115,True
79774536,2,2,0,2,75,True
79774712,4,5,1,2,129,True
79774762,0,4,4,2,148,True
79775059,2,2,0,1,89,True
79775188,2,3,1,4,134,True
79775198,1,2,1,1,103,True
79775369,1,1,0,1,132,True
79776085,1,1,0,1,86,False
79776168,2,2,0,3,139,True
79776457,1,1,0,3,178,True
79777512,2,3,1,2,85,True
79777567,3,7,4,1,237,True
79778041,1,1,0,2,104,True
79778179,1,3,2,0,172,False
79778308,0,0,0,2,104,True
79779419,-1,0,1,3,137,True
79780050,1,2,1,1,85,True
79780374,0,0,0,2,92,True
79781575,3,4,1,2,117,True
79782524,0,0,0,0,74,False
79782544,-4,0,4,1,100,True
79782665,1,3,2,3,161,True
79782787,2,2,0,1,93,True
79783029,0,1,1,1,107,True
79784467,2,2,0,1,83,True
79784828,0,0,0,2,71,True
79785140,0,1,1,1,109,True
79785552,1,1,0,1,111,True
79785709,1,1,0,1,113,True
79785853,1,2,1,2,85,True
79785960,0,0,0,2,83,True
79786226,0,1,1,1,200,True
79786299,2,2,0,1,109,True
79786921,0,1,1,1,99,False
79787003,0,0,0,1,78,False
79787584,6,6,0,3,223,True
79787796,0,0,0,1,86,True
79788189,-1,0,1,0,53,False
79789105,1,1,0,1,63,True
79789268,0,2,2,3,108,True
79789316,0,0,0,1,79,True
79789474,0,0,0,1,157,True
79790339,-4,1,5,2,229,True
79790643,-7,0,7,1,176,True
79791075,-4,0,4,1,92,True
79791379,0,0,0,3,135,True
79791439,5,5,0,2,221,True
79791669,3,3,0,2,91,True
79792215,0,2,2,1,139,True
79792652,0,1,1,1,179,True
79793019,1,1,0,1,110,False
79793067,1,1,0,6,255,True
79793409,-1,1,2,1,113,True
79795209,1,1,0,2,145,True
79795265,2,2,0,2,101,True
79795528,3,3,0,5,177,True
79795573,0,0,0,0,72,False
79795578,0,4,4,1,219,True
79796306,1,2,1,4,243,True
79796876,0,0,0,1,88,True
79796877,-1,2,3,3,102,True
79797012,2,3,1,1,93,True
79798285,2,3,1,2,157,True
79799851,1,2,1,3,165,True
79799862,4,5,1,1,145,True
79802861,0,0,0,1,113,True
79802903,4,4,0,2,113,True
79803445,-3,1,4,2,189,True
79803510,-4,0,4,1,183,True
79803688,0,2,2,0,70,False
79803727,1,1,0,1,167,True
79803969,2,3,1,2,209,True
79804204,0,1,1,1,162,True
79804271,2,2,0,0,152,False
79804286,0,0,0,1,128,True
79804329,0,1,1,7,355,True
79805212,1,1,0,0,113,False
79805913,2,3,1,4,146,True
79806051,0,1,1,2,172,False
79806384,0,1,1,0,65,False
79806960,0,0,1,6,163,True
79807261,-8,0,8,1,123,True
79807277,2,3,1,1,118,False
79807577,5,5,0,4,249,True
79807775,3,3,0,1,149,True
79808347,0,0,0,6,146,True
79808530,6,6,0,1,140,True
79808801,4,5,1,3,98,True
79809217,0,1,1,1,93,True
79809632,-3,3,6,1,151,True
79809996,1,1,0,1,133,False
79810483,-1,0,1,1,87,True
79810487,1,1,0,1,170,True
79810659,0,2,2,1,216,True
79810955,2,2,0,3,163,True
79812598,1,1,0,2,86,True
79812842,5,5,0,4,227,True
79812952,0,0,0,5,105,True
79814262,0,0,0,0,111,False
79814599,1,3,2,2,182,True
79815133,2,2,0,2,229,True
79815901,0,0,0,2,129,True
79817472,0,0,0,4,147,True
79817823,0,0,0,0,73,False
79818030,0,0,0,1,70,False
79818073,1,1,0,5,102,True
79818089,0,1,1,2,95,True
79818502,0,0,0,8,143,True
79818692,0,0,0,7,168,True
79818993,1,0,0,0,77,False
79820232,1,1,0,4,219,True
79820507,0,0,0,9,149,True
79820764,3,3,0,3,164,True
79820914,0,0,0,0,72,False
79820981,3,3,0,1,112,True
79821363,2,0,0,8,190,True
79821595,-7,0,7,1,74,True
79821615,2,2,0,1,136,True
79822122,2,2,0,3,132,True
79822318,0,0,0,1,86,True
79822511,1,1,0,1,115,False
79822735,2,0,0,7,120,True
79822762,5,5,0,3,181,True
79822777,1,2,1,1,121,True
79822878,1,2,1,1,90,True
79824063,-3,2,5,1,153,False
79824104,1,3,2,1,153,False
79824204,0,0,0,3,47,True
79824438,-2,1,3,2,102,True
79824640,0,0,0,2,131,True
79824655,0,1,1,3,98,True
79824846,0,0,0,1,36,False
79825097,0,0,0,5,74,True
79825241,0,4,4,1,114,False
79825480,-2,1,3,1,87,True
79826090,0,0,0,1,86,False
79826537,0,1,1,1,98,True
79826891,1,1,0,1,122,True
79827364,-4,0,4,3,170,True
79828139,1,1,0,1,198,True
79828257,3,4,1,2,158,True
79829003,1,1,0,2,127,True
79829103,0,1,1,1,66,True
79829177,0,1,1,2,142,True
79829295,0,1,1,2,172,True
79830521,1,1,0,2,115,True
79831106,0,0,0,2,68,True
79831830,0,0,0,7,109,True
79832942,1,2,1,2,131,True
79832965,0,1,1,0,172,False
79833901,1,1,0,2,90,True
79834065,1,0,0,2,72,True
79835358,0,0,0,6,94,True
79835416,0,1,1,2,126,False
79835521,-8,0,8,1,134,True
79835988,1,2,1,1,91,True
79836733,0,1,1,2,104,True
79837033,0,0,0,2,114,True
79837102,0,0,0,1,164,True
79837206,0,1,1,1,117,True
79838006,3,3,0,1,103,True
79838144,0,0,0,1,70,True
79838278,0,0,0,0,17,False
79838609,0,0,0,3,46,True
79839016,0,0,0,1,101,False
79839226,0,0,0,0,69,False
79839460,1,1,0,2,83,True
79839469,0,1,1,5,350,True
79840539,-1,0,1,0,28,False
79841070,0,0,0,1,65,False
