id,rating,location
4376,126780,"Athens, Georgia, United States"
128967,92688,"Los Angeles, CA"
53341,87605,United Kingdom
16241,83300,United States
134713,67709,"Hyderabad, India"
459,45639,United States
409976,42071,
282601,31356,
38666,19279,United States
186202,18252,"Rennes, France"
275088,16648,
294657,16154,
434949,14303,"Landgraaf, Netherlands"
287948,14113,SP - Brasil
43615,12417,"Munich, Bavaria, Germany"
275221,10987,Austria
402281,10093,
73810,9887,"Helsinki, Finland"
241552,9790,"Moscow, Russia"
268581,9739,
130028,9309,Portugal
233286,9085,"Sofia, Bulgaria"
281965,8219,Israel
48445,6931,New Zealand
34747,6262,"Rio de Janeiro, Brazil"
438458,4023,"Edmonton, AB"
345657,3827,
165927,2218,
99904,2104,
276363,2098,
903061,147411,"Traverse City, MI, United States"
522663,68161,"Salt Lake City, UT"
624884,33593,"Melbourne, Australia"
742402,28261,
893254,18755,"London, UK"
505306,14884,
550314,12585,"Warrington, United Kingdom"
521586,9193,
824624,8168,
972647,7652,
785523,6964,"Bengaluru, India"
945871,6477,
853462,5695,"Groningen, Netherlands"
735307,4424,"Yerevan, Armenia"
979784,4400,"Atlanta, GA, United States"
583271,4029,"Belfast, UK"
901239,2669,
928786,2595,"Pune, Maharashtra, India"
952740,2562,
542981,2091,"Hong Kong, Hong Kong"
1030576,1916,"Colorado Springs, CO"
673496,1804,"Berlin, Germany"
767434,1289,
897531,1263,
473259,960,"Oslo, Norway"
765281,881,
1001236,841,
890438,835,
469352,538,"Kensington, MD"
1023554,524,
1346234,43887,Lithuania
1387438,40491,
1251549,33994,
1346705,21100,Czech Republic
1470327,15262,Netherlands
1307987,5848,"Amsterdam, Netherlands"
1382234,5327,
1093228,4144,"Tehran, Tehran Province, Iran"
1276213,3661,
1351605,2252,"Berkshire County, Massachusetts"
1567453,2163,
1136807,2087,
1124682,1655,
1102726,1602,"New York, NY, United States"
1460828,1499,"Cornwall, United Kingdom"
1290385,1051,"Budapest, Magyarorsz&#225;g"
1107821,963,"Dublin, Ireland"
1103606,912,
1223228,846,London
1127407,841,
1241610,814,Texas
1375442,803,"Dublin, Ireland"
1424729,753,"Moskva, Москва, Россия"
1510813,734,"Kochi, India"
1525425,583,
1413691,520,
1130020,497,
1159764,453,"Melbourne, Australia"
1371968,411,New Zealand
1216939,406,
2071807,79875,"London, United Kingdom"
2353911,48642,"Berlin, Germany"
1742777,12824,"Gaithersburg, MD. USA"
1830895,11721,"Munich, Germany"
2174085,8502,"East Coast, USA"
2444661,7818,"Mumbai, India"
2291357,6347,Ga&#239;a
2283954,6126,"Norman, Ok"
2327342,5559,"S&#227;o Paulo, SP"
1941545,4365,
2066459,3370,"Whitehouse Station, NJ"
1682353,2671,Dubai
1633272,2343,
2183431,1728,Germany
1713450,1513,
2221574,1269,"Lino Lakes, MN, USA"
2052584,1263,
2307934,1240,"Lyon, France"
1927638,1227,
2057516,1225,"Princeton, NJ"
1721838,1084,
2060899,982,"Belo Horizonte, Brazil"
2326422,587,"Rural, IN"
1966792,531,"Chennai, India"
2239301,503,India
1838816,501,"St Petersburg, Russia"
1805979,471,In between
1695672,455,Ireland
1703510,424,
1648712,414,
3049628,41293,"Watford, United Kingdom"
2713729,29167,"Oulu, Finland"
3109904,7577,"Vancouver, BC"
2703209,6299,
2813152,4962,Germany
2908017,4471,"Bloemfontein, Free-State, South Africa"
2519395,3624,"Ben Arous, Tunisia"
2859614,3026,
2616474,1772,France
2516892,1659,Austria
2892357,1580,"Poland, Wrocław"
2615905,1413,
3022254,1372,"Cleveland, OH"
2962393,1189,
2691248,937,"Davao City, Philippines"
2840697,926,
2800519,920,
2854333,706,
2613166,580,"Brisbane, Australia"
3010796,549,
2661251,516,"Atlanta, GA"
2471473,499,"Olympia, WA"
3058288,433,
3059082,426,"Wilmington, Delaware"
2702630,367,"Tilburg, Netherlands"
3108935,361,Europe
2699523,351,"Hyderabad, India"
2671149,306,Canada
2521564,143,
2978063,127,Hong Kong
4451315,11132,Quox
3544438,5935,Far far and away
4473615,5251,"Bangalore, Karnataka, India"
4044009,4740,
3821009,4671,
4594495,4014,
3234994,2601,
3430463,2479,"Grenoble, France"
3903479,2004,Montana
3976630,1680,
3970831,1658,
3796660,1587,USA
4108345,1203,India
3485361,1191,
3763555,1063,
3617866,907,"Dhaka, Bangladesh"
3421066,842,
3448637,579,
4299809,567,France
3971553,524,"Brindisi, BR, Italia"
3868743,502,"Lyon, France"
3771449,456,
3735561,411,"Meran, Bozen, Italien"
3179716,365,
4314825,324,"Gdynia, Poland"
3362530,303,
4273463,291,"Ljubljana, Slovenia"
4543065,148,
3377484,92,"Durham, NC"
3514830,86,"Bengaluru, Karnataka, India"
5070879,181532,
4632019,26064,Ukraine
4696802,16620,
5371505,6381,
4934150,5565,
4759176,5261,
5560898,3572,"Salem, MA, USA"
5378187,3517,
4963334,1525,
4730536,1424,
4695280,1342,
5202246,1275,"Kyiv, Ukraine"
4978814,1241,
5072692,955,"Boston, MA, USA"
5527374,925,
5272283,707,"New Delhi, Delhi, India"
5304058,640,San fransisco
5429268,563,United States
5113754,483,Kollam Kerala India
5009319,482,USA
5477223,421,"Narvon, PA, USA"
5489294,317,"Calgary, Canada"
5259182,223,Europe
5217216,191,
4842667,187,Ohio
5281902,182,
5513917,178,
5334303,139,
4717783,90,
4793550,63,Wrocław
5661749,14416,
6777695,4129,
6180031,3758,
5693776,3468,
6386632,2044,"Glasgow, UK"
5647659,1784,"Qu&#233;bec City, QC, Canada"
6523288,1277,
5841406,1165,"Bath, UK"
6319675,1146,"Lima, Peru"
6739197,927,
5911998,862,"Goa, India"
6808672,680,Turkey
7110049,593,
6145729,575,
6351559,573,
6141238,437,
5922395,407,
6212999,405,
5878883,391,
6557243,379,
7025628,333,
5714031,299,
6711573,265,
6180721,193,Bangalore
6225921,175,
6910789,158,"Bangalore, Karnataka, India"
6507100,135,"Chennai, Tamil Nadu, India"
5829088,131,
5692227,101,
6282952,79,
7836976,7588,Ireland
8060017,7129,
7613649,3433,"Belgrade, Serbia"
7740888,3156,
7700150,2871,"Hamburg, Germany"
8655052,1698,
8189772,1223,
8772319,1205,
7867195,1115,"Limerick, Ireland"
7419457,977,"Delhi, India"
7664601,658,Indore
7590783,639,Australia
7357331,574,"Chennai, Tamil Nadu, India"
8411980,573,
7809641,558,"Boston, MA, USA"
7529280,514,
7856143,510,
8261566,499,France
8434311,476,"Traun, &#214;sterreich"
7355239,363,
8632124,345,
8006721,332,"Seattle, WA, United States"
8167524,267,"Moscow, Россия"
8725180,209,
7371506,167,
7893406,153,"Newark, DE, United States"
8538706,147,"Montr&#233;al, QC, Canada"
8064427,145,China
8762009,135,
7860771,119,"Gironde, France"
10188661,37756,"Minsk, Belarus"
9298910,3368,
9852762,3224,
8947333,3040,
9242492,2420,EU
9819342,1857,
9888512,1725,Germany
10300113,1417,Austria
9112151,1069,
9540123,1016,
9616557,767,"S&#227;o Paulo, SP, Brasil"
10146441,694,
8953248,618,"Waterloo, ON, Canada"
10640995,577,
10660712,525,
9740712,497,India
10663096,310,"Moscow, Russia"
8908951,305,"Bauru - SP, Brasil"
9736351,294,
9456807,163,
9839568,156,
10524769,147,USA
9137657,139,Sweden
9573694,139,
10155537,127,
9720075,67,"Trivandrum, Kerala, India"
9186370,64,"Munich, Germany"
9627444,63,
10635844,59,
9400754,57,"Caen, France"
10894456,3193,"NY, USA"
10691560,2651,
10852841,2379,
10695304,1102,
11092636,934,
11720193,895,United States
11894121,844,
11501306,832,"McKinney, TX, USA"
11956484,716,
11528178,713,"Karachi, Pakistan"
11790979,713,
11148823,553,
11476399,414,"Rolle, Suisse"
10708345,308,Madrid
11222817,216,
11065741,191,"Colombo, Sri Lanka"
11672197,178,
11195677,175,
12004994,161,
12108708,123,
11246434,113,T&#252;rkiye
11474988,103,"Basildon, UK"
12035358,103,
11658801,87,
11585676,81,
11356098,73,
11515453,73,
11202670,61,
12115322,61,
12139942,53,"Montgomery, AL, USA"
12473843,4612,
12892937,2009,
13392257,1770,
13247321,1089,"Western Australia, Australia"
12980093,763,
13459947,621,
12323191,555,"St. Louis, MO, USA"
12149993,542,
13158157,525,
13483388,355,
13774079,349,
13115896,323,
12817776,311,
13157036,257,USA
13390413,197,"Trondheim, Norway"
12230870,176,
12267189,169,
12338765,164,
12190005,121,"Georgia Institute of Technology, Atlanta, GA, USA"
13076067,117,Romania
13278813,101,Poland
13079675,93,
12940601,79,
13090719,71,
12367620,61,United States
12591556,57,"London, UK"
13667729,46,Earth
13904658,46,
13255966,45,"Dhaka, Bangladesh"
12749540,33,
13968392,2127,
